"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
5,"Sidewalk Menu","S EVERETT AVE & E 55 ST (5500 S) & E 56 ST (5600 S)",2011,28766,3942,"5500 S EVERETT AVE","5600 S EVERETT AVE"
5,"Sidewalk Menu","E 73RD ST & S CHAPPEL AV (2032 E) & S CLYDE AV (2100 E)",2011,13025,3943,"2032 E 73RD ST","2100 E 73RD ST"
5,"Sidewalk Menu","E 68TH ST & S EUCLID AV (1932 E) & S JEFFERY BV (2000 E)",2011,25398,3944,"1932 E 68TH ST","2000 E 68TH ST"
5,"Sidewalk Menu","E 73RD ST & S JEFFERY BV (2000 E) & S MERRILL AV (2132 E)",2011,3381,3945,"2000 E 73RD ST","2132 E 73RD ST"
5,"Sidewalk Menu","E 71ST ST & S DANTE AV (1440 E) & S BLACKSTONE AV (1500 E)",2011,16495,3946,"1440 E 71ST ST","1500 E 71ST ST"
5,"Sidewalk Menu","S KENWOOD AVE & E 57 ST (5700 S) & E 58 ST (5800 S)",2011,23141,3947,"5700 S KENWOOD AVE","5800 S KENWOOD AVE"
5,"Sidewalk Menu","E 74TH ST & S BENNETT AV (1842 E) & S EUCLID AV (1920 E)",2011,2601,3948,"1842 E 74TH ST","1920 E 74TH ST"
5,"Sidewalk Menu","S PAXTON AVE & E 71 (N) ST(7060 S) & E 72 ST (7200 S)",2011,6763,3949,"7060 S PAXTON AVE","7200 S PAXTON AVE"
5,"Sidewalk Menu","E 73RD ST & S KIMBARK AV (1300 E) & S KENWOOD AV (1332 E)",2011,1608,3950,"1300 E 73RD ST","1332 E 73RD ST"
5,"Sidewalk Menu","S HARPER AVE & E 56 ST (5600 S) & E 57 ST (5700 S)",2011,7148,3951,"5600 S HARPER AVE","5700 S HARPER AVE"
5,"Sidewalk Menu","S STONY ISLAND AVE & E 56 ST (5600 S) & E 57 DR (5700 S)",2011,55646,3952,"5600 S STONY ISLAND AVE","5700 S STONY ISLAND AVE"
5,"Sidewalk Menu","E 67TH ST & S BLACKSTONE AV (1500 E) & S STONY ISLAND AV (1600 E)",2011,9628,3953,"1500 E 67TH ST","1600 E 67TH ST"
5,"Sidewalk Menu","S BLACKSTONE AVE & E MARQUETTE RD (6600 S) & E 66 PL (6632 S)",2011,28769,3954,"6600 S BLACKSTONE AVE","6632 S BLACKSTONE AVE"
5,"Sidewalk Menu","E 59TH ST & S WOODLAWN AV (1200 E) & S DORCHESTER AV (1400 E)",2011,30001,3955,"1200 E 59TH ST","1400 E 59TH ST"
